id,repo,Title,Description,Assigned To
11,inoScript,Need View Created for RIR Associated Files,,JRLSLLC
12,inoScript,"Try to add SNs, get 1 more than we want",Getting duplicate entries <br> Requester: Jim ,JRLSLLC
13,inoScript,Inonet will change the ship schedule,,JRLSLLC
14,inoScript,Not able to enter information into com Disposition,,JRLSLLC
15,inoScript,Run Ready Checklist Is Not Displayed,Bernnan Bear; <br> <br> ,JRLSLLC
16,inoScript,Spartronics or Inovar Customer,She cant see Spartronics as manufacturer;; ,JRLSLLC
17,inoScript,Title,desc ,JRLSLLC
18,inoScript,WO 95987 - Scrap Quantity Wrong,,JRLSLLC
19,inoScript,Factory Logix is NOT a routing,,JRLSLLC
20,inoScript,"unable to load page for hydroaire 93-91807-00, page times out",,JRLSLLC
21,inoScript,The system would not let me generate a Quality Alert,,JRLSLLC
22,inoScript,WO 96356 has wrong WO number,,JRLSLLC
23,inoScript,I am unable to dispose of an asset ID due to the location being locked,,JRLSLLC
24,inoScript,Need access to be able to create new assets,,JRLSLLC
25,inoScript,MANEX.dbo.rptInvtValuation error,,JRLSLLC
26,inoScript,I do not have the ability to add a asset into the database,,JRLSLLC
27,inoScript,no se guarda la informacion.,,JRLSLLC
28,inoScript,Boards not Transfering,,JRLSLLC
29,inoScript,Boards are scanning but not transferring to the next work center,,JRLSLLC
30,inoScript,WO 94078 - MRB Scrap Record not Correct,,JRLSLLC
31,inoScript,Our inonet is down and we cannot scan out boards,,JRLSLLC
32,inoScript,WO 89445 - MRB Scrap Records not Correct,,JRLSLLC
33,inoScript,We have 17 i3 Units on Functional test that cant be transferred to FGR,,JRLSLLC
34,inoScript,Date automatic change - bug,,JRLSLLC
35,inoScript,When selecting + button to add documents to an NCMR error occors,,JRLSLLC
36,inoScript,WO 92365 - Released to Wrong Site,,JRLSLLC
37,inoScript,Quote NRE page error out on Q#s 20230320-544 20230320-572 20230308-1392 20230308-1522 20230308-1530 20230308-1605,,JRLSLLC
38,inoScript,WoDash Timeout Errors,,JRLSLLC
39,inoScript,The certificate of conformance has the wrong name on it,,JRLSLLC
40,inoScript,Testing,,JRLSLLC
41,inoScript,Not available documents,,JRLSLLC
42,inoScript,Serial not at your site,,JRLSLLC
43,inoScript,"unable to create a new work order, timeout or server not responsive error",,JRLSLLC
44,inoScript,I try to upload a file in QUOTE MAIN and it sends me an error,,JRLSLLC
45,inoScript,Reports throws an error with valid serial numbers,,JRLSLLC
46,inoScript,Testing again,,JRLSLLC
47,inoScript,Testing,,JRLSLLC
48,inoScript,Testing,,JRLSLLC
49,inoScript,Track tab in unavailable to me,,JRLSLLC
50,inoScript,When scanning RMS 90-4977422-1V we are encountering an error,,JRLSLLC
51,inoScript,Error received in QSMS module,,JRLSLLC
52,inoScript,Testing,,JRLSLLC
53,inoScript,Inonet is not working...internet is working,,JRLSLLC
54,inoScript,Cant upload/download files,,JRLSLLC
55,inoScript,The buildbook module is not working,,JRLSLLC
56,inoScript,PDF Upload >QSMS,,JRLSLLC
57,inoScript,WO 95142 - Scrap Not Showing,,JRLSLLC
58,inoScript,L3 button is generating an error message,,JRLSLLC
59,inoScript,A few of our customers cannot access the drop down menu the “Select Module” of the customer portal. I can access this. We have some documents needed that are hinged on these accessing the Inonet Portal. Can you take a look at this for us?,,JRLSLLC
60,inoScript,THe L3 stack feature is not working correctly,,JRLSLLC
61,inoScript,Scrap Record not Correct,,JRLSLLC
62,inoScript,Can not view documents in Assembly Dashboard,,JRLSLLC
63,inoScript,Can not see planning contract reviews,,JRLSLLC
64,inoScript,At the end of day we facility ship. Try to send the email and we get this error attached,,JRLSLLC
65,inoScript,boards will not scan through shop floor randomly throughout the day without refreshing page several times or waiting up to 20 minutes,,JRLSLLC
66,inoScript,everything about the cycle count page is too slow,,JRLSLLC
67,inoScript,Shopfloor tracker running slow,,JRLSLLC
68,inoScript,Customer Portal does not have shipped available for me to see,,JRLSLLC
69,inoScript,Server error,,JRLSLLC
70,inoScript,SFT will not pull up WI or PDNs,,JRLSLLC
71,inoScript,Cannot return to SMT Manager.,,JRLSLLC
72,inoScript,Cannot upload test reports to inonet,,JRLSLLC
73,inoScript,Door Scans,,JRLSLLC
74,inoScript,Manex Database stored procedure error,,JRLSLLC
75,inoScript,"When BOM is selected from released docs on a COM, it send me to assembly dashboard.",,JRLSLLC
76,inoScript,Scrap Record needs Fixed to Close Work Order,,JRLSLLC
77,inoScript,Unable to pass boards out of Factory Logix work center.,,JRLSLLC
78,inoScript,Need Function to pull Serial Data into PowerBI Quicker,,JRLSLLC
79,inoScript,Door scans not working after 11ppm last night,,JRLSLLC
80,inoScript,Badge Scans,,JRLSLLC
81,inoScript,Capacity Dashboard - Recalculate Not Working,,JRLSLLC
82,inoScript,Test checkbox not working,,JRLSLLC
83,inoScript,Door Scans,,JRLSLLC
84,inoScript,Error when trying to add new manufacturer link,,JRLSLLC
85,inoScript,"Push to Manex duplicates lines, now has error code",,JRLSLLC
86,inoScript,Shopfloor tracker functionality isnt working properly. Cant log defects.,,JRLSLLC
87,inoScript,Build Books are not acting normally,,JRLSLLC
88,inoScript,I.T Main,,JRLSLLC
89,inoScript,Trying to resurrect SN,,JRLSLLC
90,inoScript,unexpected error,,JRLSLLC
91,inoScript,"The system does not allow closing the cycle count, it is blocked",,JRLSLLC
92,inoScript,I need rights to be able to over ride the greater than 5 work order rule that is locking work order 95142 form being serialized.,,JRLSLLC
93,inoScript,Problems with the IT Main page.,,JRLSLLC
94,inoScript,Another Execution Timeoutxgxcv,,JRLSLLC
95,inoScript,InoNet refusing to send 50% of scans,,JRLSLLC
96,inoScript,Review tab isnt working,,JRLSLLC
97,inoScript,RMA unit stuck in an infinite loop,,JRLSLLC
98,inoScript,GUIDs stucked on checkout,,JRLSLLC
99,inoScript,"source inspection was removed from the list of available routings but is still in the routing for this assembly, work order 95879",,JRLSLLC
100,inoScript,Box lost in system,,JRLSLLC
101,inoScript,**THIS IS NOT A BUG**,,JRLSLLC
102,inoScript,PDF downloading,,JRLSLLC
103,inoScript,I need access to Build Book,,JRLSLLC
104,inoScript,The newest quote is not available in the quote drop down box,,JRLSLLC
105,inoScript,need Buyer rights,,JRLSLLC
106,inoScript,Cannot upload documents,,JRLSLLC
107,inoScript,Nothing downloads from Doc Master,,JRLSLLC
108,inoScript,Parts not reflect as received on the PO,,JRLSLLC
109,inoScript,Multiple work orders do not have a date serialized being logged,,JRLSLLC
110,inoScript,This NCR needsot be invalid,,JRLSLLC
111,inoScript,Reports Page - Materials tab - Inventory Onhand Assets report showing duplicates,,JRLSLLC
112,inoScript,DOES NOT MOVE IN SYSTEM,,JRLSLLC
113,inoScript,Inonet address do not match in packing list and sales order,,JRLSLLC
114,inoScript,Bubble by face in Inonet top right corner - Unapproved time cards in Inonet causing number of actions to be huge,,JRLSLLC
115,inoScript,Receiving Page - Put Away Tab - Putaway is taking a really long time (especially paste),,JRLSLLC
116,inoScript,BROKEN INONET,,JRLSLLC
117,inoScript,Does not scan boards to the next work center,,JRLSLLC
118,inoScript,We need Service cell techs to be able to add notes to the work group priorities reportt,,JRLSLLC
119,inoScript,Door Scans,,JRLSLLC
120,inoScript,Work order balances are not adjusting as they should,,JRLSLLC
121,inoScript,Create routing step called Product Review,,JRLSLLC
122,inoScript,work order 92154 start date didnt re set/change to the time of serialization.,,JRLSLLC
123,inoScript,Create routing step called FactoryLogix,,JRLSLLC
124,inoScript,Comments section entry rights for the following people...,,JRLSLLC
125,inoScript,Training Time Estimation,,JRLSLLC
126,inoScript,Issues with Inonet Server,,JRLSLLC
127,inoScript,Prices not pulling in,,JRLSLLC
128,inoScript,Antonio Cacho needs rights in WoDash,,JRLSLLC
129,inoScript,"Please allow access to enter, change Sales Orders on the WO Dash",,JRLSLLC
130,inoScript,COM still active after all signatures,,JRLSLLC
131,inoScript,Update Quote link WO 95397,,JRLSLLC
132,inoScript,Trying to do part transfer and have an error pop up,,JRLSLLC
133,inoScript,sn 932520006 cca will not move out of RMA SC,,JRLSLLC
134,inoScript,WO 95204 marked as not released,,JRLSLLC
135,inoScript,Inonet PL 20230215-1175,,JRLSLLC
136,inoScript,Add 5th line on SMT Manager,,JRLSLLC
137,inoScript,Need Quality inspector title added to RMA module,,JRLSLLC
138,inoScript,I can not access Beta,,JRLSLLC
139,inoScript,Unable to download pdfs on Inonet,,JRLSLLC
140,inoScript,No badge scans,,JRLSLLC
141,inoScript,CapDash is calculating a week ahead,,JRLSLLC
142,inoScript,Add Site field to qvwQuoteStatus,,JRLSLLC
143,inoScript,WO 95621 Showing Incorrect Customer in Some Screens,,JRLSLLC
144,inoScript,Packing list 20230210-1172 doesnt print all the lines shipped.,,JRLSLLC
145,inoScript,Documents will not attach to COM,,JRLSLLC
146,inoScript,Antonio Cacho needs full SoDash Rights,,JRLSLLC
147,inoScript,Transactions take more than 20 minutes per part/guide number,,JRLSLLC
148,inoScript,qvwSupplierSpend NULL labelGuid,,JRLSLLC
149,inoScript,change supplier on PO,,JRLSLLC
150,inoScript,PO DASH is not working,,JRLSLLC
151,inoScript,SYSTEM ERROR NO MOVEMENT IN SYSTEM,,JRLSLLC
152,inoScript,no transaction system error,,JRLSLLC
153,inoScript,times out before everything saves,,JRLSLLC
154,inoScript,Logan can create PO to TCT only supplier,,JRLSLLC
155,inoScript,Cannot create PO,,JRLSLLC
156,inoScript,QSMS--NCMR Source not updating in SQL,,JRLSLLC
157,inoScript,Keep TCT and LGN supplier list separate,,JRLSLLC
158,inoScript,Wrong WO Number Entered,,JRLSLLC
159,inoScript,Add a field to qvwNCMR,,JRLSLLC
160,inoScript,Time out when trying to save.,,JRLSLLC
161,inoScript,CapDash is not Recalculating,,JRLSLLC
162,inoScript,File explored pops open each time a different line is selected in contract review,,JRLSLLC
163,inoScript,Inonet is timing out when trying to save,,JRLSLLC
164,inoScript,Total Cost is not summing completely for full Sales Order value,,JRLSLLC
165,inoScript,Removal of BOM reviews for Engineering in Capacity Planning Checklist,,JRLSLLC
166,inoScript,Obsolete Parts,,JRLSLLC
167,inoScript,SQL View Edit: qvw_MnxInventory,,JRLSLLC
168,inoScript,New SQL View: Manex MRB,,JRLSLLC
169,inoScript,Need access to employee requisition page for hiring,,JRLSLLC
170,inoScript,Inonet is timing out with almost every action,,JRLSLLC
171,inoScript,SQL View: Customer Assignments,,JRLSLLC
172,inoScript,New SQL View: Standard Costs from Manex,,JRLSLLC
173,inoScript,Shop floor tracking glitch,,JRLSLLC
174,inoScript,New SQL View: Quick Reports - Tariffs Shipped Details,,JRLSLLC
175,inoScript,Time to run report is excessive - date filter option?,,JRLSLLC
176,inoScript,Add PBP Column to qvwSalesOrders,,JRLSLLC
177,inoScript,Juki EE Data is needed for Corp KPIs,,JRLSLLC
178,inoScript,Kit Chakkaphak Need Rights,,JRLSLLC
179,inoScript,PST takes forever to load and sometimes doesnt load at all,,JRLSLLC
180,inoScript,"PO Dash not allowing updates, times-out",,JRLSLLC
181,inoScript,page is blank and will not load,,JRLSLLC
182,inoScript,PO dash wont let me submit a bug,,JRLSLLC
183,inoScript,Site filter for Logan and Tecate Quotes,,JRLSLLC
184,inoScript,"the guid cannot be scanned to account  the material , the rir was done manually but the qr cannot be scanned to account  the material since it is a transfer for that reason I need to scan the guide but it does not allow it",,JRLSLLC
185,inoScript,Flattened BOM View,,JRLSLLC
186,inoScript,Users created,,JRLSLLC
187,inoScript,Material not at you site,,JRLSLLC
188,inoScript,DBnull error when clicking countback complete,,JRLSLLC
189,inoScript,Cant see Viasat quote,,JRLSLLC
190,inoScript,Need comment write privilege,,JRLSLLC
191,inoScript,Missing the Scan In Button under Time and Attendace,,JRLSLLC
192,inoScript,Customer can not access files,,JRLSLLC
193,inoScript,Need to delete panel labels,,JRLSLLC
194,inoScript,Inonet Invoice Function,,JRLSLLC
195,inoScript,Need access,,JRLSLLC
196,inoScript,This serial is not at your site.,,JRLSLLC
197,inoScript,unable to submit sds,,JRLSLLC
198,inoScript,Service Cell Dashboard access for Christian Crawford...,,JRLSLLC
199,inoScript,Material Pricing Uploaded but not calculating into final,,JRLSLLC
200,inoScript,SoDash - Remove auto calculation of the Inovar Commit Date when a Contract Review is Completed,,JRLSLLC
201,inoScript,Unable to add in supervisor,,JRLSLLC
202,inoScript,Vonnie Watterson and Jason Woodruff need master scheduler rights in inonet.,,JRLSLLC
203,inoScript,Asset Management,,JRLSLLC
204,inoScript,My rights for locking a work order on the sales order page have been removed,,JRLSLLC
205,inoScript,The date range on Customer Portal Shipped does not work correctly.,,JRLSLLC
206,inoScript,"Access to Putaway - kit audit, count back, complete putaway",,JRLSLLC
207,inoScript,The guides continue with the same blocking status for PUT AWAY,,JRLSLLC
208,inoScript,Sales Order Acknowledgement,,JRLSLLC
209,inoScript,Need part types added to class,,JRLSLLC
210,inoScript,can you add 180 day customer demand to the inventory InoNet report,,JRLSLLC
211,inoScript,SFT doesnt allow to review/download documents,,JRLSLLC
212,inoScript,Missing Door Scans,,JRLSLLC
213,inoScript,Quote problem 2. I get an error Final summary.,,JRLSLLC
214,inoScript,Shipping Page - Claims message is not on the packing list and CofC has mis-spelled letter,,JRLSLLC
215,inoScript,Useless Distraction,,JRLSLLC
216,inoScript,Need access to create work orders,,JRLSLLC
217,inoScript,Error appears in quote module when I select Final Summary,,JRLSLLC
218,inoScript,Update Quote Link WO 92949,,JRLSLLC
219,inoScript,No access to Purchase Order Dashboard,,JRLSLLC
220,inoScript,Asset Creation is broken,,JRLSLLC
221,inoScript,kit audit has not worrked since the code post,,JRLSLLC
222,inoScript,Incorrect RMA answer letter template,,JRLSLLC
223,inoScript,Unable to release work order 95041,,JRLSLLC
224,inoScript,Failed to load viewstate server error,,JRLSLLC
225,inoScript,WODash - Work Order Balance Displays as 10 Less than Build Qty,,JRLSLLC
226,inoScript,Tecate Doc Master Contract Review procedure dead link,,JRLSLLC
227,inoScript,Sonia Chavez Rights to SO Dashboard,,JRLSLLC
228,inoScript,Inonet Rights -COM Module,,JRLSLLC
229,inoScript,View for FGI Scans,,JRLSLLC
230,inoScript,Add a calibration company name to the drop down list.,,JRLSLLC
231,inoScript,No one can track labor hours,,JRLSLLC
232,inoScript,We had boards that GD wanted us to place new pins in that were completed and sent to FGI.  Production control scrapped these boards we now need to bring them back to FGI so we can bring them in as an RMA to replace the pins.,,JRLSLLC
233,inoScript,COM for BVN not tying to WO# 93192,,JRLSLLC
234,inoScript,Need access to Inoquote,,JRLSLLC
235,inoScript,Asset Numbers increasing exponentially,,JRLSLLC
236,inoScript,Not able to input/edit the Comments entries,,JRLSLLC
237,inoScript,WO 94074 did not get a serialization date,,JRLSLLC
238,inoScript,Unable to Multiply Chemicals,,JRLSLLC
239,inoScript,Unable to load beta.theino.net,,JRLSLLC
240,inoScript,SO 2103110012 Line 2023.11 has the wrong division,,JRLSLLC
241,inoScript,Wrong Division Assigned,,JRLSLLC
242,inoScript,Cant add serial numbers to box ID in Create Box,,JRLSLLC
243,inoScript,Privacy errors and login errors,,JRLSLLC
244,inoScript,Tecate needs to see Generac PM1-290-01 Rev 5. I tried to change the site but it will not stay selected,,JRLSLLC
245,inoScript,would like access to Beta,,JRLSLLC
246,inoScript,The Shipping/packing list/sales order is not showing a button for L3 Stack,,JRLSLLC
247,inoScript,Access to Beta,,JRLSLLC
248,inoScript,Inventory report not updating,,JRLSLLC
249,inoScript,QA-300.001 Supplier Quality Manual Link broken,,JRLSLLC
250,inoScript,Link broken in Doc Master,,JRLSLLC
251,inoScript,Not able to edit Supplier Dashboard,,JRLSLLC
252,inoScript,Need Hottinger Bruel & Kjaer Inc. to show in requisitions,,JRLSLLC
253,inoScript,Leader inonet rights,,JRLSLLC
254,inoScript,I keep getting an embarrassing message on put away page,,JRLSLLC
255,inoScript,SN string error,,JRLSLLC
256,inoScript,sistema lento,,JRLSLLC
257,inoScript,Reports Main - Materials Tab - Inventory Onhand Assets Report - For Who column missing,,JRLSLLC
258,inoScript,Need Rights for Planned Conversion Time,,JRLSLLC
259,inoScript,Inventory Locations/Part Dashboard - Need Asset Zone created or changed,,JRLSLLC
260,inoScript,COM upload is missing AOI Mirtec upload option,,JRLSLLC
261,inoScript,Quote discrepancy,,JRLSLLC
262,inoScript,material does not fit in system,,JRLSLLC
263,inoScript,Invoice Function Not Working in Sales Order Dashboard,,JRLSLLC
264,inoScript,Key Work List Emails are Not going to Carl Creighton,,JRLSLLC
265,inoScript,Please add Carl Creighton to the Key work list emails.,,JRLSLLC
266,inoScript,***THIS IS NOT A BUG***,,JRLSLLC
267,inoScript,WoDash - Balance Update Script Not Running,,JRLSLLC
268,inoScript,I have no access to create new asset,,JRLSLLC
269,inoScript,Cant generate ASSETS IDS,,JRLSLLC
270,inoScript,Door Scans,,JRLSLLC
271,inoScript,Multiplying Consumed Chemical Glitch,,JRLSLLC
272,inoScript,inonet crashes when accessing to QSMS,,JRLSLLC
273,inoScript,Getting an error screen for QSMS.,,JRLSLLC
274,inoScript,8527600036 stuck in limbo.,,JRLSLLC
275,inoScript,Need qvwScrapped modified,,JRLSLLC
276,inoScript,Can not add new asset,,JRLSLLC
277,inoScript,slow system transactions,,JRLSLLC
278,inoScript,Access to beta Inonet,,JRLSLLC
279,inoScript,Current and Excess columns not calculating,,JRLSLLC
280,inoScript,Need a view created for FA Questions,,JRLSLLC
281,inoScript,Cannot access Spartronics.com,,JRLSLLC
282,inoScript,"Need exec rights, not program management",,JRLSLLC
283,inoScript,When I select this CR ID 20221108-808 i get an error message.,,JRLSLLC
284,inoScript,sft will not move boards from rework,,JRLSLLC
285,inoScript,SN9370300001 is stuck in a loop. Cant resolve defect.,,JRLSLLC
286,inoScript,packing list wont print all the SO lines,,JRLSLLC
287,inoScript,Source Inspection vs. Source Review,,JRLSLLC
288,inoScript,Inventory report is stuck again,,JRLSLLC
289,inoScript,Board is stuck with Defect,,JRLSLLC
290,inoScript,Dock Receiving Issue,,JRLSLLC
291,inoScript,Cannot assign CAR to Robert (Kary) Hansen,,JRLSLLC
292,inoScript,FA Questions does not work,,JRLSLLC
293,inoScript,Revise QSMS CAR to meet ISO 13485 Regulations,,JRLSLLC
294,inoScript,Unable to edit Supplier Dashboard in Inonet.,,JRLSLLC
295,inoScript,need Access Inventory location.,,JRLSLLC
296,inoScript,Create Asset Button Disapearing,,JRLSLLC
297,inoScript,Unable to process COM request to archive Meeting Module Training,,JRLSLLC
298,inoScript,Trying to archive Document: Reports Main Training,,JRLSLLC
299,inoScript,Inventory report stuck,,JRLSLLC
300,inoScript,Can not link outsource Po to a sales order,,JRLSLLC
301,inoScript,BOM Shortage & SO Dash Rights (2 Issues),,JRLSLLC
302,inoScript,Add Originator column to qvwComReqests,,JRLSLLC
303,inoScript,Cannot delete document from Doc Master,,JRLSLLC
304,inoScript,Cant use the column customization without losing features,,JRLSLLC
305,inoScript,Badge not working on doors,,JRLSLLC
306,inoScript,Nick Anderson (new hire) needs full Inonet access,,JRLSLLC
307,inoScript,COM not showing orange in Engineering queue.,,JRLSLLC
308,inoScript,Procedure QA-200.025 cannot be updated,,JRLSLLC
309,inoScript,CapDash - Recalculation not running,,JRLSLLC
310,inoScript,Report not updating,,JRLSLLC
311,inoScript,Shipping Page - L3 Stack button generates outdate packing list on first page,,JRLSLLC
312,inoScript,Door scans stop on 10/26 sometime,,JRLSLLC
313,inoScript,Packing list did not print all the lines that shipped,,JRLSLLC
314,inoScript,Inonet packing list is not pulling correct line and qty.,,JRLSLLC
315,inoScript,Unable to DL the SDS file for LT437-0087576,,JRLSLLC
316,inoScript,InoNet COM Module Required signatures drop down incorrect,,JRLSLLC
